millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
171381,1758488556.20,-585.33,2657.50,-450.96,
171781,1758488556.60,-1148.25,3261.28,-457.25,
172183,1758488557.00,-1913.67,4279.78,-353.34,
172581,1758488557.40,-2109.59,5125.31,-119.02,
172981,1758488557.80,-2419.99,5395.91,131.09,
173381,1758488558.20,-2615.56,5077.50,284.70,
173782,1758488558.60,-2590.43,5028.48,309.01,
174182,1758488559.00,-2522.55,4992.04,174.15,
174582,1758488559.40,-2601.07,4793.96,5.38,
174981,1758488559.80,-2609.72,4677.84,-126.31,
175381,1758488560.20,-2589.11,4441.30,-228.02,
175782,1758488560.60,-2617.91,4023.90,-167.42,
176182,1758488561.00,-2545.30,3479.70,62.46,
176582,1758488561.40,-2343.62,2740.93,327.49,
176980,1758488561.80,-2023.97,1987.88,465.36,
177381,1758488562.20,-1734.81,1284.17,429.73,
177783,1758488562.60,-1458.14,599.32,334.59,
178181,1758488563.00,-1225.12,-58.40,283.43,
178582,1758488563.40,-1014.52,-600.74,219.87,
178981,1758488563.80,-809.07,-1055.10,129.40,
179382,1758488564.20,-564.66,-1380.31,18.06,
179783,1758488564.60,-383.82,-1562.56,-140.88,
180183,1758488565.00,-362.79,-1640.84,-303.29,
180584,1758488565.40,-301.93,-1667.20,-418.27,
180985,1758488565.80,-148.42,-1633.44,-456.57,
181383,1758488566.20,-13.98,-1617.32,-409.66,
181787,1758488566.60,-33.55,-1696.87,-328.88,
182183,1758488567.00,-53.78,-1933.34,-247.26,
182583,1758488567.40,-42.80,-2255.92,-214.63,
182983,1758488567.80,-36.49,-2603.69,-271.74,
183410,1758488568.20,57.98,-2733.64,-336.69,
183784,1758488568.60,221.94,-2829.64,-360.48,
184184,1758488569.00,453.88,-2910.01,-355.62,
184586,1758488569.40,644.49,-2971.65,-235.29,
184984,1758488569.80,843.41,-2948.80,-157.69,
185383,1758488570.20,938.04,-2952.14,-122.88,
185784,1758488570.60,1128.81,-3006.29,-10.25,
186184,1758488571.00,1391.73,-2946.50,211.62,
186584,1758488571.40,1736.04,-2941.48,367.82,
186984,1758488571.80,1863.01,-2761.51,338.91,
187384,1758488572.20,1841.27,-2572.04,278.82,
187786,1758488572.60,1683.38,-2260.33,199.09,
188187,1758488573.00,1387.23,-2049.86,204.23,
188585,1758488573.40,1060.75,-1724.67,153.71,
188985,1758488573.80,943.43,-1393.21,153.24,
189385,1758488574.20,1162.24,-1060.74,243.62,
189785,1758488574.60,1522.89,-812.31,399.22,
190185,1758488575.00,1941.96,-669.10,481.68,
190585,1758488575.40,2244.30,-578.08,400.25,
190986,1758488575.80,2397.77,-413.50,211.71,
191386,1758488576.20,2349.04,-174.60,41.87,
191790,1758488576.60,2074.76,71.21,-175.68,
192189,1758488577.00,1576.44,366.81,-492.87,
192586,1758488577.40,982.19,729.93,-597.56,
192987,1758488577.80,443.10,1189.79,-678.12,
193387,1758488578.20,-26.47,1849.32,-834.99,
193785,1758488578.60,-218.33,2208.52,-930.62,
194182,1758488579.00,-183.84,2431.67,-975.53,
194584,1758488579.40,31.00,2671.71,-935.37,
194984,1758488579.80,309.22,2784.16,-818.35,
195384,1758488580.20,38.74,1718.10,-510.37,
195787,1758488580.60,-104.64,980.72,92.61,
196185,1758488581.00,-204.41,290.20,528.05,
196586,1758488581.40,66.72,-215.77,680.01,
196987,1758488581.80,97.00,-347.78,642.67,
197385,1758488582.20,-234.46,-341.45,563.52,
197785,1758488582.60,-211.27,-190.23,200.72,
198185,1758488583.00,-466.72,321.44,-199.71,
198586,1758488583.40,-605.99,815.63,-347.10,
198987,1758488583.80,-846.47,1267.75,-453.20,
199387,1758488584.20,-1040.95,1808.45,-367.66,
199788,1758488584.60,-1223.93,2224.31,-207.34,
200188,1758488585.00,-1407.84,2659.85,-170.50,
200587,1758488585.40,-1556.73,2867.87,-52.51,
200987,1758488585.80,-1566.28,2704.58,91.68,
201387,1758488586.20,-1568.37,2358.45,313.78,
201788,1758488586.60,-1440.98,1918.69,570.15,
202188,1758488587.00,-1165.03,1475.41,792.55,
