epoch,link,log type,data
0,0,BSYS,5,INFO,Firmware SHA: 7C2E60DA
1758488440.61,2,DATA,RBRD,49500,1466770
1758488440.82,1,DATA,SOFT2,48520,3058
1758488441.11,2,DATA,RBRD,50000,1464170
1758488441.32,1,DATA,SOFT2,49020,3058
1758488441.61,2,DATA,RBRD,50500,1463030
1758488441.82,1,DATA,SOFT2,49520,3058
1758488442.11,2,DATA,RBRD,51000,1464350
1758488442.32,1,DATA,SOFT2,50020,3058
1758488442.62,2,DATA,RBRD,51500,1469590
1758488442.82,1,DATA,SOFT2,50520,3057
1758488443.11,2,DATA,RBRD,52000,1477780
1758488443.32,1,DATA,SOFT2,51020,3058
1758488443.62,2,DATA,RBRD,52500,1484240
1758488443.82,1,DATA,SOFT2,51520,3058
1758488444.11,2,DATA,RBRD,53000,1488750
1758488444.32,1,DATA,SOFT2,52020,3058
1758488444.62,2,DATA,RBRD,53500,1490200
1758488444.82,1,DATA,SOFT2,52520,3058
1758488445.11,2,DATA,RBRD,54000,1488910
1758488445.32,1,DATA,SOFT2,53020,3057
1758488445.62,2,DATA,RBRD,54500,1486150
1758488445.82,1,DATA,SOFT2,53520,3058
1758488446.11,2,DATA,RBRD,55000,1483020
1758488446.32,1,DATA,SOFT2,54020,3058
1758488446.62,2,DATA,RBRD,55500,1478950
1758488446.82,1,DATA,SOFT2,54520,3058
1758488447.12,2,DATA,RBRD,56000,1473640
1758488447.32,1,DATA,SOFT2,55020,3058
1758488447.62,2,DATA,RBRD,56500,1467630
1758488447.82,1,DATA,SOFT2,55520,3058
1758488448.00,0,BSYS,57744,INFO,etmark 3496443904
1758488448.12,2,DATA,RBRD,57000,1462870
1758488448.32,1,DATA,SOFT2,56020,3058
1758488448.62,2,DATA,RBRD,57500,1462320
1758488448.82,1,DATA,SOFT2,56520,3058
1758488449.12,2,DATA,RBRD,58000,1466860
1758488449.32,1,DATA,SOFT2,57020,3058
1758488449.62,2,DATA,RBRD,58500,1473450
1758488449.82,1,DATA,SOFT2,57520,3058
1758488450.12,2,DATA,RBRD,59000,1479290
1758488450.32,1,DATA,SOFT2,58020,3058
1758488450.62,2,DATA,RBRD,59500,1482380
1758488450.82,1,DATA,SOFT2,58520,3058
1758488451.12,2,DATA,RBRD,60000,1482180
1758488451.32,1,DATA,SOFT2,59020,3058
1758488451.62,2,DATA,RBRD,60500,1480730
1758488451.82,1,DATA,SOFT2,59520,3057
1758488452.12,2,DATA,RBRD,61000,1478640
1758488452.32,1,DATA,SOFT2,60020,3058
1758488452.62,2,DATA,RBRD,61500,1478870
1758488452.82,1,DATA,SOFT2,60520,3058
1758488453.12,2,DATA,RBRD,62000,1480230
1758488453.32,1,DATA,SOFT2,61020,3057
1758488453.62,2,DATA,RBRD,62500,1481770
1758488453.82,1,DATA,SOFT2,61520,3058
1758488454.12,2,DATA,RBRD,63000,1483950
1758488454.32,1,DATA,SOFT2,62020,3058
1758488454.62,2,DATA,RBRD,63500,1486690
1758488454.82,1,DATA,SOFT2,62520,3057
1758488455.12,2,DATA,RBRD,64000,1492950
1758488455.32,1,DATA,SOFT2,63020,3058
1758488455.62,2,DATA,RBRD,64500,1500280
1758488455.82,1,DATA,SOFT2,63520,3057
1758488456.12,2,DATA,RBRD,65000,1504630
1758488456.32,1,DATA,SOFT2,64020,3058
1758488456.62,2,DATA,RBRD,65500,1504020
1758488456.82,1,DATA,SOFT2,64520,3058
1758488457.12,2,DATA,RBRD,66000,1493670
1758488457.32,1,DATA,SOFT2,65020,3058
1758488457.62,2,DATA,RBRD,66500,1475770
1758488457.82,1,DATA,SOFT2,65520,3058
1758488458.00,0,BSYS,67744,INFO,etmark 3496446464
1758488458.12,2,DATA,RBRD,67000,1459490
1758488458.32,1,DATA,SOFT2,66020,3057
1758488458.62,2,DATA,RBRD,67500,1452970
1758488458.82,1,DATA,SOFT2,66520,3058
1758488459.12,2,DATA,RBRD,68000,1457480
1758488459.32,1,DATA,SOFT2,67020,3057
1758488459.62,2,DATA,RBRD,68500,1465070
1758488459.82,1,DATA,SOFT2,67520,3058
1758488460.12,2,DATA,RBRD,69000,1471640
1758488460.32,1,DATA,SOFT2,68020,3058
1758488460.62,2,DATA,RBRD,69500,1475150
1758488460.82,1,DATA,SOFT2,68520,3057
1758488461.12,2,DATA,RBRD,70000,1475670
1758488461.32,1,DATA,SOFT2,69020,3057
1758488461.62,2,DATA,RBRD,70500,1478610
1758488461.82,1,DATA,SOFT2,69520,3058
1758488462.12,2,DATA,RBRD,71000,1484760
1758488462.32,1,DATA,SOFT2,70020,3057
1758488462.62,2,DATA,RBRD,71500,1496180
1758488462.82,1,DATA,SOFT2,70520,3057
1758488463.12,2,DATA,RBRD,72000,1508190
1758488463.32,1,DATA,SOFT2,71020,3058
1758488463.62,2,DATA,RBRD,72500,1513220
1758488463.82,1,DATA,SOFT2,71520,3057
1758488464.12,2,DATA,RBRD,73000,1510270
1758488464.32,1,DATA,SOFT2,72020,3058
1758488464.62,2,DATA,RBRD,73500,1501440
1758488464.82,1,DATA,SOFT2,72520,3058
1758488465.12,2,DATA,RBRD,74000,1488010
1758488465.32,1,DATA,SOFT2,73020,3058
1758488465.62,2,DATA,RBRD,74500,1475490
1758488465.82,1,DATA,SOFT2,73520,3058
1758488466.12,2,DATA,RBRD,75000,1465630
1758488466.32,1,DATA,SOFT2,74020,3058
1758488466.62,2,DATA,RBRD,75500,1456780
1758488466.82,1,DATA,SOFT2,74520,3057
1758488467.12,2,DATA,RBRD,76000,1447910
1758488467.32,1,DATA,SOFT2,75020,3058
1758488467.62,2,DATA,RBRD,76500,1440470
1758488467.82,1,DATA,SOFT2,75520,3058
1758488468.00,0,BSYS,77744,INFO,etmark 3496449024
1758488468.12,2,DATA,RBRD,77000,1436220
1758488468.32,1,DATA,SOFT2,76020,3057
1758488468.62,2,DATA,RBRD,77500,1438080
1758488468.82,1,DATA,SOFT2,76520,3058
1758488469.12,2,DATA,RBRD,78000,1442770
1758488469.32,1,DATA,SOFT2,77020,3057
1758488469.62,2,DATA,RBRD,78500,1447740
1758488469.82,1,DATA,SOFT2,77520,3058
1758488470.12,2,DATA,RBRD,79000,1453050
1758488470.32,1,DATA,SOFT2,78020,3058
1758488470.62,2,DATA,RBRD,79500,1461130
1758488470.82,1,DATA,SOFT2,78520,3058
1758488471.12,2,DATA,RBRD,80000,1471780
1758488471.32,1,DATA,SOFT2,79020,3058
1758488471.62,2,DATA,RBRD,80500,1485590
